[0 0]
[['X' '-' '-']
 ['-' 'O' '-']
 ['-' '-' '-']]
         4289602 function calls (4231841 primitive calls) in 15.862 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.000    0.000    0.001    0.000 sre_parse.py:829(fix_flags)
        1    0.000    0.000    0.001    0.001 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.013    0.013 pathlib.py:1(<module>)
        3    0.000    0.000    0.000    0.000 enum.py:848(<listcomp>)
       27    0.000    0.000    0.001    0.000 core.py:920(__init__)
      103    0.000    0.000    0.000    0.000 sre_parse.py:159(__len__)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
        1    0.000    0.000    0.002    0.002 linalg.py:10(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
        1    0.000    0.000    0.116    0.116 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 numeric.py:2923(<listcomp>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:88(<module>)
       30    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       61    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.023    0.023 case.py:1(<module>)
       44    0.000    0.000    0.001    0.000 core.py:149(get_object_signature)
        1    0.000    0.000    0.000    0.000 numerictypes.py:766(_construct_lookups)
        1    0.000    0.000    0.000    0.000 numerictypes.py:340(_add_integer_aliases)
        8    0.000    0.000    0.000    0.000 sre_parse.py:266(getuntil)
        1    0.000    0.000    0.003    0.003 __init__.py:88(<module>)
        1    0.000    0.000    0.000    0.000 case.py:337(TestCase)
        1    0.000    0.000    0.021    0.021 hashlib.py:54(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:26(_fr1)
        1    0.000    0.000    0.011    0.011 __init__.py:15(<module>)
        1    0.000    0.000    0.001    0.001 ast.py:26(<module>)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:410(has_location)
        1    0.000    0.000    0.001    0.001 defchararray.py:17(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        6    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       46    0.000    0.000    0.000    0.000 enum.py:28(_is_dunder)
        1    0.000    0.000    0.000    0.000 pickle.py:986(_Unpickler)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       31    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:332(<dictcomp>)
        1    0.000    0.000    0.000    0.000 pathlib.py:107(_WindowsFlavour)
       30    0.000    0.000    0.000    0.000 numerictypes.py:432(_add_array_type)
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
       14    0.000    0.000    0.004    0.000 hashlib.py:116(__get_openssl_constructor)
        9    0.000    0.000    0.000    0.000 enum.py:417(_get_mixins_)
      368    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       22    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.empty}
       17    0.000    0.000    0.000    0.000 sre_parse.py:342(_escape)
       60    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ntpath.py:6(<module>)
       41    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
       54    0.000    0.000    0.000    0.000 types.py:135(__get__)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
        3    0.000    0.000    0.000    0.000 enum.py:160(<setcomp>)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        3    0.000    0.000    0.000    0.000 enum.py:833(_decompose)
        6    0.000    0.000    0.000    0.000 sre_compile.py:381(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.001    0.001 _iotools.py:3(<module>)
       19    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       11    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:106(_write_atomic)
        1    0.000    0.000   15.862   15.862 game.py:1(<module>)
        3    0.000    0.000    0.004    0.001 enum.py:602(_convert)
      193    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        8    0.000    0.000    0.000    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:493(StringConverter)
        1    0.000    0.000    0.002    0.002 argparse.py:62(<module>)
       40    0.000    0.000    0.000    0.000 enum.py:20(_is_descriptor)
       30    0.000    0.000    0.000    0.000 getlimits.py:70(<lambda>)
       41    0.000    0.000    0.000    0.000 __init__.py:421(<genexpr>)
        5    0.000    0.000    0.002    0.000 warnings.py:119(filterwarnings)
       62    0.000    0.000    0.000    0.000 numerictypes.py:127(english_lower)
       33    0.000    0.000    0.000    0.000 functools.py:74(wraps)
        1    0.000    0.000    0.000    0.000 <string>:5(Mismatch)
